File,SubjectCN,Category
Guardarian OÜ.cer,Guardarian OÜ,Crypto
MyCrypto, Inc.cer,MyCrypto,Crypto
xBlock Ventures OÜ - Kryptex.cer,xBlock Ventures OÜ,Crypto
Coinomi Ltd.cer,Coinomi Ltd,Crypto
Binance.cer,Binance Holdings Limited,Crypto
Conflux - Developer ID Application Zehao Li (84HMS8FGBE).cer,Developer ID Application: Zehao Li (84HMS8FGBE),Crypto
LITECOIN FOUNDATION LTD. 2024.cer,LITECOIN FOUNDATION LTD.,Crypto
Atomic Protocol Systems OÜ.cer,Atomic Protocol Systems OÜ,Crypto
Nicehash - HBit.cer,H-BIT,Crypto
Growth Labs - Crypto DeFi.cer,Growth Labs,Crypto
Cudo.cer,Cudo Ventures,Crypto
AwesomeMiner.cer,IntelliBreeze Software AB,Crypto
Electrum Technologies GmbH.cer,Electrum Technologies GmbH,Crypto
Exodus Movement, Inc..cer,Exodus Movement,Crypto
Kryptex -Xblock.cer,xBlock Ventures OÜ,Crypto
Ledger SAS - Crypto.cer,Ledger SAS,Crypto
electrum.cer,Electrum Technologies GmbH,Crypto
"coinbase.cer,""Coinbase, Inc."",Crypto"
"exodus.cer,""Exodus Movement, Inc."",Crypto"
atomicwallet.cer,Atomic Wallet OÜ,Crypto
binance.cer,Binance Holdings Ltd,Crypto
ledgerlive.cer,Ledger SAS,Crypto
trezor.cer,SatoshiLabs s.r.o.,Crypto
"myetherwallet.cer,""MyEtherWallet, Inc."",Crypto"
coinomi.cer,Coinomi Ltd.,Crypto
NSUS Limited - GG Poker.cer,NSUS Limited,Gambling
4Group Inc. - 4Poker.cer,4Group Inc.,Gambling
pokerstars.cer,Rational Intellectual Holdings Limited,Gambling
888poker.cer,Cassava Enterprises Limited,Gambling
bet365.cer,Hillside (Technology) Limited,Gambling
bwin.cer,ElectraWorks Limited,Gambling
partypoker.cer,Entain Group,Gambling
unibet.cer,Trannel International Ltd,Gambling
ggpoker.cer,NSUS Limited,Gambling
ladbrokes.cer,LC International Limited,Gambling
Gajin Games.cer,Gaijin Network LTD,Gaming
FatShark.cer,Fatshark AB,Gaming
Zenimax.cer,Zenimax Media Inc.,Gaming
FunPlus International AG.cer,FunPlus International AG,Gaming
Plarium Global LTD - Raid shadow legends.cer,Plarium Global LTD,Gaming
Take Two Interactive (XCOM).cer,Take-Two Interactive Software,Gaming
Ubisoft Entertainment.cer,Ubisoft Entertainment SA,Gaming
Frogware games.cer,Frogwares Ireland ltd,Gaming
BIG FISH GAMES, INC..cer,BIG FISH GAMES,Gaming
Swift Media Entertainment, Inc. - Blitz GG.cer,Swift Media Entertainment,Gaming
TT Games Studios Limited.cer,TT Games Studios Limited,Gaming
CD PROJEKT SPÓŁKA AKCYJNA.cer,CD PROJEKT SPÓŁKA AKCYJNA,Gaming
Aegia Technologies (Physx).cer,Ageia Technologies Inc.,Gaming
11 bit studios.cer,11 BIT STUDIOS S.A.,Gaming
World Of Tanks.cer,Wargaming.net Limited,Gaming
Sky Mavis Vietnam Company Limited.cer,Sky Mavis Vietnam Company Limited,Gaming
Even Balance, Inc..cer,Even Balance,Gaming
mid.gg - overwolf ltd.cer,Overwolf Ltd,Gaming
CapCom.cer,CAPCOM CO.,Gaming
Epic games.cer,Epic Games Inc.,Gaming
Focus Home.cer,Focus Home Interactive S.A,Gaming
Guillemot Recherche et Développement, Inc - Thrustmaster - September 2024.cer,Guillemot Recherche et Développement,Gaming
株式会社セガ.cer,株式会社セガ,Gaming
GOG.cer,GOG Sp. z o.o.,Gaming
Jagex - Runescape.cer,Jagex Limited,Gaming
DENUVO GmbH - AntiCheat.cer,DENUVO GmbH,Gaming
WeMod.cer,WeMod LLC,Gaming
EasyAntiCheat 2026.cer,EasyAntiCheat Oy,Gaming
gearbox.cer,Gearbox Software,Gaming
Square Enix.cer,Square Enix LTD,Gaming
Obsidian Entertainment, Inc.cer,Obsidian Entertainment,Gaming
Runic games.cer,Runic Games,Gaming
roblox 19th july.cer,Roblox Corporation,Gaming
Riot Games.cer,Riot Games,Gaming
TILauncher.exe.cer,TLauncher Inc.,Gaming
Rockstar Games.cer,Rockstar Games,Gaming
Ubisoft.cer,Ubisoft Entertainment Sweden AB,Gaming
Bethesda Games.cer,Bethesda Softworks LLC,Gaming
VoiceAttack.cer,VoiceAttack.com,Gaming
Thomas Alexander Henne - RuneLite - November 2025.cer,Thomas Alexander Henne,Gaming
Valve Corp. 2027.cer,Valve Corp.,Gaming
Ubisoft  Entertainment.cer,UBISOFT ENTERTAINMENT INC.,Gaming
SABER INTERAKTIV SGS OOO - Insurgency.cer,SABER INTERAKTIV SGS OOO,Gaming
Cheat Engine.cer,EngineGame,Gaming
Cognosphere.cer,COGNOSPHERE PTE. LTD.,Gaming
RocketLeague - Psyonix.cer,Psyonix,Gaming
EA Games.cer,Electronic Arts,Gaming
Travellers Tale.cer,Travellers Tales (UK) Ltd,Gaming
Square Enix Co.cer,SQUARE ENIX CO.,Gaming
Blizzard (Battlenet).cer,Blizzard Entertainment,Gaming
",""Activision Publishing, Inc."",Gaming"
,Arrowhead Game Studios AB,Gaming
,CD PROJEKT S.A.,Gaming
,ConcernedApe,Gaming
,Electronic Arts Inc.,Gaming
,Electronic Arts Switzerland Sàrl,Gaming
",""Epic Games, Inc."",Gaming"
",""FromSoftware, Inc."",Gaming"
,Larian Studios,Gaming
,Mojang AB,Gaming
",""Riot Games, Inc."",Gaming"
",""Rockstar Games, Inc."",Gaming"
,Valve Corporation,Gaming
,WB Games Inc.,Gaming
XMplay Audio Player.cer,Un4seen Developments Ltd,Media
Winamp.cer,Winamp SA,Media
Spotify.cer,Spotify AB,Media
PotPlayer -kakao.cer,Kakao corp.,Media
LBRY, Inc.cer,LBRY,Media
4k Toolkit - Open Media LLC.cer,Open Media LLC,Media
mp3tag.cer,Florian Heidenreich,Media
Tidal.cer,TIDAL Music AS,Media
Genetec Video player.cer,Genetec Inc.,Media
WonderShare video Converter.cer,Wondershare Technology Group Co.,Media
VLC Player.cer,VideoLAN,Media
Plex.cer,Plex,Media
Florian Heidenreich - MP3 Tag - 2024.cer,Florian Heidenreich,Media
4k ShenZhen JIHOSOFT Co., Ltd.cer,ShenZhen JIHOSOFT Co.,Media
Pazu Amazon Video Downloader - Xiamen Tiaozhiting Software Technology Co., Ltd..cer,Xiamen Tiaozhiting Software Technology Co.,Media
Apple - itunes.cer,Apple Inc.,Media
CHIRP Software LLC - Jan 2027.cer,CHIRP Software LLC,Media
Nox TV.cer,Nox Limited,Media
Plex, Inc..cer,Plex,Media
VideoLAN.cer,VideoLAN,Media
Qobuz -XANDRIE SA.cer,XANDRIE SA,Media
CleverGet -Shenzhen Moyea Software.cer,Shenzhen Moyea Software,Media
Tidal 2024.cer,TIDAL Music AS,Media
ByteDance 2025.cer,Bytedance Pte. Ltd.,Media
Musecy SM Ltd. - Audacity - April 2025.cer,Musecy SM Ltd.,Media
NowTV (Sky UK Limited).cer,Sky UK Limited,Media
MediaMonkey.cer,Ventis Media,Media
Satellite TV (digital River).cer,Digital River,Media
Deezer.cer,Deezer SA,Media
Sky Go.cer,Sky UK Limited,Media
vlc.cer,VideoLAN,Media
potplayer.cer,Kakao Corp.,Media
mpc-hc.cer,clsid2,Media
kodi.cer,XBMC Foundation,Media
"plex.cer,""Plex, Inc."",Media"
audacity.cer,Muse Group,Media
spotify.cer,Spotify AB,Media
winamp.cer,Radionomy,Media
itunes.cer,Apple Inc.,Media
quicktime.cer,Apple Inc.,Media
foobar2000.cer,Peter Pawlowski,Media
gomplayer.cer,Gretech Corp.,Media
"kmplayer.cer,""Pandora TV Co., Ltd."",Media"
Tixati - Torrent.cer,Tixati Software Inc.,Piracy
Bigly - Torrent.cer,Bigly Software,Piracy
RapidSeedbox Ltd - WizTorrents.cer,RapidSeedbox Ltd,Piracy
MediaGet - Globlal microtrading.cer,Global Microtrading PTE. LTD,Piracy
utorrent bitorrent cert.cer,Rainberry Inc,Piracy
Vuze - Azureus.cer,Azureus Software,Piracy
ShareIT.cer,SHAREit Technologies Co.Ltd,Piracy
limewire.cer,Lime Wire LLC,Piracy
Musiclab, LLC - Bearshare.cer,Musiclab,Piracy
Transmission Torrent Client - SignPath Foundation.cer,SignPath Foundation,Piracy
Softdeluxe LLC - Free Download Manager.cer,Softdeluxe LLC,Piracy
FrostWire LLC.cer,FrostWire LLC,Piracy
Open Source Developer, Arron Mogge - bigly Torrents.cer,Open Source Developer,Piracy
BitTorrent Inc utorrent - May 2027.cer,BitTorrent Inc,Piracy
OnionShare.cer,Open Source Developer,Piracy
