File,Subject,SubjectCN,Issuer,Serial,ValidFrom,ValidTo
Tixati - Torrent.cer,"C=CA, ST=Ontario, L=Toronto, O=Tixati Software Inc., CN=Tixati Software Inc.",Tixati Software Inc.,"C=GB, O=Sectigo Limited, CN=Sectigo Public Code Signing CA R36",AA3AB55F681C38372EEF4A1C2B2302EB,Jun 14 00:00:00 2021 GMT,Jun 14 23:59:59 2023 GMT
Bigly - Torrent.cer,"C=CA, postalCode=V6B 1B5, ST=British Columbia, L=Vancouver, street=2102-980 Seymour Street, postOfficeBox=V6B 1B5, O=Bigly Software, OU=Open Source Development, CN=Bigly Software",Bigly Software,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Code Signing CA",204FBC3F64A7E42AC0FB929BE3447A50,Jun  9 00:00:00 2017 GMT,Jun  9 23:59:59 2018 GMT
RapidSeedbox Ltd - WizTorrents.cer,"C=SC, L=Ile Du Port, O=RapidSeedbox Ltd, CN=RapidSeedbox Ltd",RapidSeedbox Ltd,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",0CE646CE593462BDB23990A5F9571ED5,Oct 30 00:00:00 2023 GMT,Nov 24 23:59:59 2025 GMT
MediaGet - Globlal microtrading.cer,"C=SG, L=Singapore, O=Global Microtrading PTE. LTD, OU=IT, CN=Global Microtrading PTE. LTD",Global Microtrading PTE. LTD,"C=US, O=thawte, Inc., CN=thawte SHA256 Code Signing CA",1DDA30FE3206C23D83CBDB7638C09051,Sep  1 00:00:00 2020 GMT,Sep  1 23:59:59 2023 GMT
utorrent bitorrent cert.cer,"C=US, ST=California, L=San Francisco, O=Rainberry Inc, CN=Rainberry Inc",Rainberry Inc,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",0EF83273F4E18371EEE96CA23BCFB376,Sep 13 00:00:00 2021 GMT,Sep 12 23:59:59 2024 GMT
Vuze - Azureus.cer,"C=US, ST=California, L=Truckee, O=Azureus Software, Inc., CN=Azureus Software, Inc.",Azureus Software,"C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA",2A89A2D2E233025425DFE9D58FA40478,Dec 31 00:00:00 2015 GMT,Dec 26 23:59:59 2016 GMT
ShareIT.cer,"C=CN, ST=Beijing, L=Beijing, O=SHAREit Technologies Co.Ltd, CN=SHAREit Technologies Co.Ltd",SHAREit Technologies Co.Ltd,"C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA",3E04076D4B53A8436FD2665B5029C627,Nov  6 00:00:00 2015 GMT,Nov  5 23:59:59 2017 GMT
limewire.cer,"C=US, ST=New York, L=New York, O=Lime Wire LLC, OU=Digital ID Class 3 - Microsoft Software Validation v2, OU=N/A, CN=Lime Wire LLC",Lime Wire LLC,"C=US, O=VeriSign, Inc., OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)04, CN=VeriSign Class 3 Code Signing 2004 CA",05C9281D39825730EE256D2C090A01A2,Oct 14 00:00:00 2008 GMT,Oct 23 23:59:59 2011 GMT
"Musiclab, LLC - Bearshare.cer","C=US, ST=New York, L=New York, O=Musiclab, LLC, OU=SECURE APPLICATION DEVELOPMENT, CN=Musiclab, LLC",Musiclab,"C=ZA, O=Thawte Consulting (Pty) Ltd., CN=Thawte Code Signing CA",1521775FA07EB41E2A622C918E7420C2,Apr 22 00:00:00 2010 GMT,May  5 23:59:59 2012 GMT
Transmission Torrent Client - SignPath Foundation.cer,"C=US, ST=Delaware, L=Lewes, O=SignPath Foundation, CN=SignPath Foundation",SignPath Foundation,"C=US, ST=Texas, L=Houston, O=SSL Corp, CN=SSL.com Code Signing Intermediate CA RSA R1",218E71961CC187071112F831B76254AC,May  8 12:21:25 2023 GMT,May  7 12:21:25 2026 GMT
Softdeluxe LLC - Free Download Manager.cer,"C=BY, ST=Minsk, L=Minsk, O=Softdeluxe LLC, CN=Softdeluxe LLC, emailAddress=administrator@softdeluxe.com",Softdeluxe LLC,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R45 CodeSigning CA 2020",2D44387A96AB85A471453BA0,Oct 27 12:36:11 2022 GMT,Oct 27 12:36:11 2025 GMT
FrostWire LLC.cer,"C=US, ST=Florida, O=FrostWire LLC, CN=FrostWire LLC",FrostWire LLC,"C=GB, O=Sectigo Limited, CN=Sectigo Public Code Signing CA R36",247A71F8367500C1FC14BC772D868BD3,Mar 14 00:00:00 2024 GMT,Mar 14 23:59:59 2025 GMT
"Open Source Developer, Arron Mogge - bigly Torrents.cer","C=CA, ST=British Columbia, L=Vancouver, O=Open Source Developer, CN=Open Source Developer, Arron Mogge, emailAddress=bt@biglybt.com",Open Source Developer,"C=PL, O=Asseco Data Systems S.A., CN=Certum Code Signing 2021 CA",708847EFF687C0C1E76A29A1B01CBF70,Oct 24 06:35:40 2023 GMT,Oct 23 06:35:39 2024 GMT
BitTorrent Inc utorrent - May 2027.cer,"C=US, ST=California, L=San Francisco, O=BitTorrent Inc, CN=BitTorrent Inc",BitTorrent Inc,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",0F47C9651DF999BDFDE55C2786BC0BAA,May 20 00:00:00 2024 GMT,May 19 23:59:59 2027 GMT
OnionShare.cer,"C=US, ST=California, L=Davis, O=Open Source Developer, CN=Open Source Developer, Micah Lee, emailAddress=micah@micahflee.com",Open Source Developer,"C=PL, O=Asseco Data Systems S.A., CN=Certum Code Signing 2021 CA",290A86DAC81B3094E3CCD9CC643378FD,Mar 31 05:17:06 2022 GMT,Mar 31 05:17:05 2023 GMT
