File,SubjectCN,ValidFrom,ValidTo
Gajin Games.cer,Gaijin Network LTD,Jan 31 10:15:55 2020 GMT,Apr 17 08:13:05 2023 GMT
FatShark.cer,Fatshark AB,Jan 24 00:00:00 2022 GMT,Jan 24 23:59:59 2025 GMT
Zenimax.cer,Zenimax Media Inc.,Jan 27 00:00:00 2023 GMT,Jan 28 23:59:59 2025 GMT
FunPlus International AG.cer,FunPlus International AG,Jun  8 00:00:00 2022 GMT,Jun  8 23:59:59 2023 GMT
Plarium Global LTD - Raid shadow legends.cer,Plarium Global LTD,Jul  1 00:00:00 2022 GMT,Jun 30 23:59:59 2025 GMT
Take Two Interactive (XCOM).cer,Take-Two Interactive Software,Jul 30 00:00:00 2019 GMT,Aug  3 12:00:00 2022 GMT
Ubisoft Entertainment.cer,Ubisoft Entertainment SA,Mar  4 15:12:16 2013 GMT,Apr  6 11:00:46 2014 GMT
Frogware games.cer,Frogwares Ireland ltd,Jul 17 00:00:00 2020 GMT,Jul 17 23:59:59 2022 GMT
"BIG FISH GAMES, INC..cer",BIG FISH GAMES,Nov  9 00:00:00 2019 GMT,Dec  2 23:59:59 2022 GMT
"Swift Media Entertainment, Inc. - Blitz GG.cer",Swift Media Entertainment,Feb  5 00:00:00 2024 GMT,Apr  6 23:59:59 2027 GMT
TT Games Studios Limited.cer,TT Games Studios Limited,Aug 11 13:31:23 2020 GMT,Sep 20 13:06:00 2023 GMT
CD PROJEKT SPÓŁKA AKCYJNA.cer,CD PROJEKT SPÓŁKA AKCYJNA,Sep 27 00:00:00 2022 GMT,Sep 28 23:59:59 2023 GMT
Aegia Technologies (Physx).cer,Ageia Technologies Inc.,Apr 25 00:00:00 2006 GMT,May 28 23:59:59 2008 GMT
11 bit studios.cer,11 BIT STUDIOS S.A.,Jan 27 09:15:29 2023 GMT,Jan 28 09:15:29 2024 GMT
World Of Tanks.cer,Wargaming.net Limited,Feb  2 00:00:00 2021 GMT,Apr 25 23:59:59 2023 GMT
Sky Mavis Vietnam Company Limited.cer,Sky Mavis Vietnam Company Limited,Feb 20 10:53:31 2023 GMT,Feb  8 11:48:11 2026 GMT
"Even Balance, Inc..cer",Even Balance,Jan 19 00:00:00 2011 GMT,Jan 23 23:59:59 2012 GMT
mid.gg - overwolf ltd.cer,Overwolf Ltd,Mar 14 00:00:00 2023 GMT,May  3 23:59:59 2026 GMT
CapCom.cer,CAPCOM CO.,Aug 20 00:00:00 2021 GMT,Oct  2 23:59:59 2024 GMT
Epic games.cer,Epic Games Inc.,Feb 25 00:00:00 2021 GMT,Feb 29 23:59:59 2024 GMT
Focus Home.cer,Focus Home Interactive S.A,Mar 19 00:00:00 2020 GMT,Apr 11 23:59:59 2023 GMT
"Guillemot Recherche et Développement, Inc - Thrustmaster - September 2024.cer",Guillemot Recherche et Développement,Sep  1 00:00:00 2021 GMT,Sep  4 23:59:59 2024 GMT
株式会社セガ.cer,株式会社セガ,Jan 13 00:00:00 2023 GMT,Feb 27 23:59:59 2026 GMT
GOG.cer,GOG Sp. z o.o.,Dec 13 00:00:00 2019 GMT,Feb 10 12:00:00 2021 GMT
Jagex - Runescape.cer,Jagex Limited,Oct 13 00:00:00 2021 GMT,Oct 12 23:59:59 2024 GMT
DENUVO GmbH - AntiCheat.cer,DENUVO GmbH,Jul 16 08:35:43 2021 GMT,Sep 13 08:11:50 2024 GMT
WeMod.cer,WeMod LLC,Feb 18 00:00:00 2021 GMT,Apr 20 23:59:59 2022 GMT
EasyAntiCheat 2026.cer,EasyAntiCheat Oy,Aug  2 14:11:36 2023 GMT,Oct 29 14:11:36 2026 GMT
gearbox.cer,Gearbox Software,May 11 00:00:00 2022 GMT,Jun 25 23:59:59 2025 GMT
