SubjectCN,Category
Guardarian OÜ,Crypto
 MyCrypto,Crpyto
xBlock Ventures OÜ,Crypto
Coinomi Ltd,Crypto
Binance Holdings Limited,Crypto
Developer ID Application: Zehao Li (84HMS8FGBE),Crypto
LITECOIN FOUNDATION LTD.,Crypto
Atomic Protocol Systems OÜ,Crypto
H-BIT,Crypto
Growth Labs,Crypto
Cudo Ventures,Crypto
IntelliBreeze Software AB,Crypto
Electrum Technologies GmbH,Crypto
Exodus Movement,Crypto
xBlock Ventures OÜ,Crypto
Ledger SAS,Crypto
Electrum Technologies GmbH,Crypto
Atomic Wallet OÜ,Crypto
Binance Holdings Ltd,Crypto
Ledger SAS,Crypto
SatoshiLabs s.r.o.,Crypto
Coinomi Ltd.,Crypto
NSUS Limited,Gambling
4Group Inc.,Gambling
Rational Intellectual Holdings Limited,Gambling
Cassava Enterprises Limited,Gambling
Hillside (Technology) Limited,Gambling
ElectraWorks Limited,Gambling
Entain Group,Gambling
Trannel International Ltd,Gambling
NSUS Limited,Gambling
LC International Limited,Gambling
Gaijin Network LTD,Gaming
Fatshark AB,Gaming
Zenimax Media Inc.,Gaming
FunPlus International AG,Gaming
Plarium Global LTD,Gaming
Take-Two Interactive Software,Gaming
Ubisoft Entertainment SA,Gaming
Frogwares Ireland ltd,Gaming
 BIG FISH GAMES,Gaming
Swift Media Entertainment,Gaming
TT Games Studios Limited,Gaming
CD PROJEKT SPÓŁKA AKCYJNA,Gaming
Ageia Technologies Inc.,Gaming
11 BIT STUDIOS S.A.,Gaming
Wargaming.net Limited,Gaming
Sky Mavis Vietnam Company Limited,Gaming
 Even Balance,Gaming
Overwolf Ltd,Gaming
CAPCOM CO.,Gaming
Epic Games Inc.,Gaming
Focus Home Interactive S.A,Gaming
Guillemot Recherche et Développement,Gaming
株式会社セガ,Gaming
GOG Sp. z o.o.,Gaming
Jagex Limited,Gaming
DENUVO GmbH,Gaming
WeMod LLC,Gaming
EasyAntiCheat Oy,Gaming
Gearbox Software,Gaming
Square Enix LTD,Gaming
Obsidian Entertainment,Gaming
Runic Games,Gaming
Roblox Corporation,Gaming
Riot Games,Gaming
TLauncher Inc.,Gaming
Rockstar Games,Gaming
Ubisoft Entertainment Sweden AB,Gaming
Bethesda Softworks LLC,Gaming
VoiceAttack.com,Gaming
Thomas Alexander Henne,Gaming
Valve Corp.,Gaming
UBISOFT ENTERTAINMENT INC.,Gaming
SABER INTERAKTIV SGS OOO,Gaming
