SubjectCN,File,Category
Guardarian OÜ,,Crypto
MyCrypto,,Crypto
Coinomi Ltd,,Crypto
Binance Holdings Limited,,Crypto
Developer ID Application: Zehao Li (84HMS8FGBE),,Crypto
LITECOIN FOUNDATION LTD.,,Crypto
Atomic Protocol Systems OÜ,,Crypto
H-BIT,,Crypto
Growth Labs,,Crypto
Cudo Ventures,,Crypto
IntelliBreeze Software AB,,Crypto
Electrum Technologies GmbH,,Crypto
Exodus Movement,,Crypto
xBlock Ventures OÜ,,Crypto
Ledger SAS,,Crypto
Atomic Wallet OÜ,,Crypto
Binance Holdings Ltd,,Crypto
SatoshiLabs s.r.o.,,Crypto
Coinomi Ltd.,,Crypto
NSUS Limited,,Gambling
4Group Inc.,,Gambling
Rational Intellectual Holdings Limited,,Gambling
Cassava Enterprises Limited,,Gambling
Hillside (Technology) Limited,,Gambling
ElectraWorks Limited,,Gambling
Entain Group,,Gambling
Trannel International Ltd,,Gambling
LC International Limited,,Gambling
Microsoft Corporation,MinecraftInstaller.exe,Gaming
Gaijin Network LTD,,Gaming
Fatshark AB,,Gaming
Zenimax Media Inc.,,Gaming
FunPlus International AG,,Gaming
Plarium Global LTD,,Gaming
Ubisoft Entertainment SA,,Gaming
Frogwares Ireland ltd,,Gaming
BIG FISH GAMES,,Gaming
"Swift Media Entertainment, Inc.",,Gaming
TT Games Studios Limited,,Gaming
CD PROJEKT SPÓŁKA AKCYJNA,,Gaming
Ageia Technologies Inc.,,Gaming
11 BIT STUDIOS S.A.,,Gaming
Wargaming.net Limited,,Gaming
Sky Mavis Vietnam Company Limited,,Gaming
Even Balance,,Gaming
Overwolf Ltd,,Gaming
CAPCOM CO.,,Gaming
Epic Games Inc.,,Gaming
Focus Home Interactive S.A,,Gaming
Guillemot Recherche et Développement,,Gaming
株式会社セガ,,Gaming
GOG Sp. z o.o.,,Gaming
Jagex Limited,,Gaming
DENUVO GmbH,,Gaming
WeMod LLC,,Gaming
EasyAntiCheat Oy,,Gaming
Gearbox Software,,Gaming
Square Enix LTD,,Gaming
Obsidian Entertainment,,Gaming
Runic Games,,Gaming
Roblox Corporation,,Gaming
Riot Games,,Gaming
TLauncher Inc.,,Gaming
Rockstar Games,,Gaming
Ubisoft Entertainment Sweden AB,,Gaming
Bethesda Softworks LLC,,Gaming
VoiceAttack.com,,Gaming
Thomas Alexander Henne,,Gaming
Valve Corp.,,Gaming
UBISOFT ENTERTAINMENT INC.,,Gaming
SABER INTERAKTIV SGS OOO,,Gaming
COGNOSPHERE PTE. LTD.,,Gaming
Psyonix,,Gaming
Electronic Arts,,Gaming
Travellers Tales (UK) Ltd,,Gaming
SQUARE ENIX CO.,,Gaming
Blizzard Entertainment,,Gaming
Arrowhead Game Studios AB,,Gaming
CD PROJEKT S.A.,,Gaming
ConcernedApe,,Gaming
Electronic Arts Inc.,,Gaming
Electronic Arts Switzerland Sàrl,,Gaming
Larian Studios,,Gaming
Mojang AB,,Gaming
Valve Corporation,,Gaming
WB Games Inc.,,Gaming
Un4seen Developments Ltd,,Media
Winamp SA,,Media
Kakao corp.,,Media
LBRY,,Media
Open Media LLC,,Media
Florian Heidenreich,,Media
TIDAL Music AS,,Media
Genetec Inc.,,Media
Wondershare Technology Group Co.,,Media
ShenZhen JIHOSOFT Co.,,Media
Xiamen Tiaozhiting Software Technology Co.,,Media
Apple Inc.,iTunes.exe,Media
CHIRP Software LLC,,Media
Nox Limited,,Media
Plex,,Media
VideoLAN,,Media
XANDRIE SA,,Media
Shenzhen Moyea Software,,Media
Bytedance Pte. Ltd.,,Media
Musecy SM Ltd.,,Media
Sky UK Limited,,Media
Ventis Media,,Media
Digital River,,Media
Deezer SA,,Media
Kakao Corp.,PotPlayerMini64.exe,Media
clsid2,,Media
XBMC Foundation,,Media
Muse Group,,Media
Spotify AB,,Media
Radionomy,,Media
Peter Pawlowski,,Media
Gretech Corp.,,Media
Tixati Software Inc.,,Piracy
Bigly Software,,Piracy
RapidSeedbox Ltd,,Piracy
Global Microtrading PTE. LTD,,Piracy
Rainberry Inc,,Piracy
Azureus Software,,Piracy
SHAREit Technologies Co.Ltd,,Piracy
Lime Wire LLC,,Piracy
Musiclab,,Piracy
SignPath Foundation,,Piracy
Softdeluxe LLC,,Piracy
FrostWire LLC,,Piracy
BitTorrent Inc,,Piracy
Open Source Developer,,Piracy
mutandinhxua.com,,Malware
Manhoods,,Malware
Digital Wave Ltd,,Malware
AN Soft,,Malware
Flexera Software LLC,,Malware
Undeluged,,Malware
Skaalpundet,,Malware
DauLue Intention Fly Network Technology Co.,,Malware
Bureaukrat,,Malware
Carbon,,Malware
Presters,,Malware
Systweak Software,,Malware
Testversion,,Malware
Arkfderkontrollen,,Malware
Transportkontorer,,Malware
Tommy Tech LTD,,Malware
STATPLUS LE,,Malware
ELLEN SOFTWARE SOLUTIONS LTD,,Malware
MIXBYTE,,Malware
Jesus Ginard,,Malware
TAOBAO (CHINA) SOFTWARE CO.,,Malware
Teinoscope,,Malware
Tenorshare (Hongkong) Limited,,Malware
Outbyte Computing Pty Ltd,,Malware
Lower Tribeca Corp IBC,,Malware
Distributive Corp,,Malware
Carphophis,,Malware
Trakteringers,,Malware
Varebeskrivelser,,Malware
TEHTRI-Security S.A.S,,Malware
Prolific Technology Inc.,,Malware
STATPLUS,,Malware
Bednighted,,Malware
Xing Wang,,Malware
Bulwark Exterminating,,Malware
GlobalSign GCC,,Malware
ITPRODUCTDEV LTD,,Malware
Tenorshare Co.,,Malware
Shenzhen Hanshunxin Electronic Technology Co.,,Malware
