SubjectCN,Category,FileName
Guardarian OÜ,Crypto,Guardarian
 MyCrypto,Crypto,MyCrypto
xBlock Ventures OÜ,Crypto,xBlock Wallet
Coinomi Ltd,Crypto,Coinomi
Binance Holdings Limited,Crypto,Binance
Developer ID Application: Zehao Li (84HMS8FGBE),Crypto,Developer ID Application: Zehao Li (84HMS8FGBE)
LITECOIN FOUNDATION LTD.,Crypto,Litecoin
Atomic Protocol Systems OÜ,Crypto,Atomic Protocol Systems OÜ
H-BIT,Crypto,H-BIT
Growth Labs,Crypto,Growth Labs
Cudo Ventures,Crypto,Cudo Ventures
IntelliBreeze Software AB,Crypto,IntelliBreeze Software AB
Electrum Technologies GmbH,Crypto,Electrum Technologies GmbH
Exodus Movement,Crypto,Exodus Movement
xBlock Ventures OÜ,Crypto,xBlock Wallet
Ledger SAS,Crypto,Ledger Live
Electrum Technologies GmbH,Crypto,Electrum Technologies GmbH
Atomic Wallet OÜ,Crypto,Atomic Wallet OÜ
Binance Holdings Ltd,Crypto,Binance
Ledger SAS,Crypto,Ledger Live
SatoshiLabs s.r.o.,Crypto,SatoshiLabs s.r.o.
Coinomi Ltd.,Crypto,Coinomi
NSUS Limited,Gambling,NSUS Limited
4Group Inc.,Gambling,4Group Inc.
Rational Intellectual Holdings Limited,Gambling,Rational Intellectual Holdings Limited
Cassava Enterprises Limited,Gambling,Cassava Enterprises Limited
Hillside (Technology) Limited,Gambling,Hillside (Technology) Limited
ElectraWorks Limited,Gambling,ElectraWorks Limited
Entain Group,Gambling,Entain Group
Trannel International Ltd,Gambling,Trannel International Ltd
NSUS Limited,Gambling,NSUS Limited
LC International Limited,Gambling,LC International Limited
Gaijin Network LTD,Gaming,Gaijin Network LTD
Fatshark AB,Gaming,Fatshark AB
Zenimax Media Inc.,Gaming,Zenimax Media Inc.
FunPlus International AG,Gaming,FunPlus International AG
Plarium Global LTD,Gaming,Plarium Global LTD
Take-Two Interactive Software,Gaming,Take-Two Interactive Software
Ubisoft Entertainment SA,Gaming,Ubisoft Entertainment SA
Frogwares Ireland ltd,Gaming,Frogwares Ireland ltd
 BIG FISH GAMES,Gaming, BIG FISH GAMES
Swift Media Entertainment,Gaming,Swift Media Entertainment
TT Games Studios Limited,Gaming,TT Games Studios Limited
CD PROJEKT SPÓŁKA AKCYJNA,Gaming,CD PROJEKT SPÓŁKA AKCYJNA
Ageia Technologies Inc.,Gaming,Ageia Technologies Inc.
11 BIT STUDIOS S.A.,Gaming,11 BIT STUDIOS S.A.
Wargaming.net Limited,Gaming,Wargaming.net Limited
Sky Mavis Vietnam Company Limited,Gaming,Sky Mavis Vietnam Company Limited
 Even Balance,Gaming, Even Balance
Overwolf Ltd,Gaming,Overwolf Ltd
CAPCOM CO.,Gaming,CAPCOM CO.
Epic Games Inc.,Gaming,Epic Games Launcher
Focus Home Interactive S.A,Gaming,Focus Home Interactive S.A
Guillemot Recherche et Développement,Gaming,Guillemot Recherche et Développement
株式会社セガ,Gaming,株式会社セガ
GOG Sp. z o.o.,Gaming,GOG Sp. z o.o.
Jagex Limited,Gaming,Jagex Limited
DENUVO GmbH,Gaming,DENUVO GmbH
WeMod LLC,Gaming,WeMod LLC
EasyAntiCheat Oy,Gaming,EasyAntiCheat Oy
Gearbox Software,Gaming,Gearbox Software
Square Enix LTD,Gaming,Square Enix LTD
Obsidian Entertainment,Gaming,Obsidian Entertainment
Runic Games,Gaming,Runic Games
Roblox Corporation,Gaming,Roblox Corporation
Riot Games,Gaming,League of Legends
TLauncher Inc.,Gaming,TLauncher Inc.
Rockstar Games,Gaming,Rockstar Games
Ubisoft Entertainment Sweden AB,Gaming,Ubisoft Entertainment Sweden AB
Bethesda Softworks LLC,Gaming,Bethesda Softworks LLC
VoiceAttack.com,Gaming,VoiceAttack.com
Thomas Alexander Henne,Gaming,Thomas Alexander Henne
Valve Corp.,Gaming,Steam
UBISOFT ENTERTAINMENT INC.,Gaming,UBISOFT ENTERTAINMENT INC.
SABER INTERAKTIV SGS OOO,Gaming,SABER INTERAKTIV SGS OOO
EngineGame,Gaming,EngineGame
COGNOSPHERE PTE. LTD.,Gaming,COGNOSPHERE PTE. LTD.
Psyonix,Gaming,Psyonix
Electronic Arts,Gaming,Electronic Arts
