File,Subject,Subject CN,Issuer,Serial,Valid From,Valid To
Gajin Games.cer,"businessCategory=Private Organization, serialNumber=HE 312702, jurisdictionC=CY, C=CY, ST=Nicosia, L=Nicosia, street=Kyriakos Matsis, 10, LILIANA BUILDING, Floor 2, Flat 203, O=Gaijin Network LTD, CN=Gaijin Network LTD, emailAddress=admins@gaijin.net",Gaijin Network LTD,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Extended Validation CodeSigning CA - SHA256 - G3",0198B7428284660E34BBB07B,Jan 31 10:15:55 2020 GMT,Apr 17 08:13:05 2023 GMT
FatShark.cer,"C=SE, L=Stockholm, O=Fatshark AB, CN=Fatshark AB",Fatshark AB,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",0B2A68F30C61625E5E9EAE97BD5F6787,Jan 24 00:00:00 2022 GMT,Jan 24 23:59:59 2025 GMT
Zenimax.cer,"C=US, ST=Maryland, L=Rockville, O=Zenimax Media Inc., CN=Zenimax Media Inc.",Zenimax Media Inc.,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",04876B9BE087C85CA728856203E51387,Jan 27 00:00:00 2023 GMT,Jan 28 23:59:59 2025 GMT
FunPlus International AG.cer,"C=CH, L=Zug, O=FunPlus International AG, CN=FunPlus International AG",FunPlus International AG,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",0F9DE98881265CEC0DFA0F7BAA2CBC62,Jun  8 00:00:00 2022 GMT,Jun  8 23:59:59 2023 GMT
Plarium Global LTD - Raid shadow legends.cer,"serialNumber=514563956, jurisdictionC=IL, businessCategory=Private Organization, C=IL, ST=Tel Aviv, O=Plarium Global LTD, CN=Plarium Global LTD",Plarium Global LTD,"C=GB, O=Sectigo Limited, CN=Sectigo Public Code Signing CA EV R36",75115B33E171AB9C29675C970A9B4808,Jul  1 00:00:00 2022 GMT,Jun 30 23:59:59 2025 GMT
Take Two Interactive (XCOM).cer,"C=US, ST=New York, L=New York, O=Take-Two Interactive Software, Inc., CN=Take-Two Interactive Software, Inc., emailAddress=systems@take2games.com",Take-Two Interactive Software,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Assured ID Code Signing CA",09FEA11040E9DB96FD49C052C503BC12,Jul 30 00:00:00 2019 GMT,Aug  3 12:00:00 2022 GMT
Ubisoft Entertainment.cer,"C=FR, ST=Seine Saint Denis, L=MONTREUIL SOUS BOIS, O=Ubisoft Entertainment SA, CN=Ubisoft Entertainment SA",Ubisoft Entertainment SA,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign CodeSigning CA - G2",11211489E6814A0B9E53465021BAA1A6FCEF,Mar  4 15:12:16 2013 GMT,Apr  6 11:00:46 2014 GMT
Frogware games.cer,"serialNumber=326498, jurisdictionC=IE, businessCategory=Private Organization, C=IE, postalCode=D15 K6WR, ST=Dublin, L=Dubli, street=Suite A Ashtown Business Centre, Navan Road, O=Frogwares Ireland ltd, CN=Frogwares Ireland ltd",Frogwares Ireland ltd,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Extended Validation Code Signing CA",D2E01CCB40BB3F8193319EBD0775A8E1,Jul 17 00:00:00 2020 GMT,Jul 17 23:59:59 2022 GMT
"BIG FISH GAMES, INC..cer","C=US, ST=Washington, L=Seattle, O=BIG FISH GAMES, INC., CN=BIG FISH GAMES, INC.",BIG FISH GAMES,"C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA",6CEC9E11A1BFE010D3FF81692C614742,Nov  9 00:00:00 2019 GMT,Dec  2 23:59:59 2022 GMT
"Swift Media Entertainment, Inc. - Blitz GG.cer","jurisdictionC=US, jurisdictionST=Delaware, businessCategory=Private Organization, serialNumber=6614056, C=US, ST=California, L=Los Angeles, O=Swift Media Entertainment, Inc., CN=Swift Media Entertainment, Inc.",Swift Media Entertainment,"C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1",0762EFB7FC0510EB4E61251FB3C1EA8F,Feb  5 00:00:00 2024 GMT,Apr  6 23:59:59 2027 GMT
TT Games Studios Limited.cer,"C=GB, L=Knutsford, O=TT Games Studios Limited, CN=TT Games Studios Limited",TT Games Studios Limited,"C=US, ST=Arizona, L=Scottsdale, O=GoDaddy.com, Inc., OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2",A921C2866BA4737D,Aug 11 13:31:23 2020 GMT,Sep 20 13:06:00 2023 GMT
CD PROJEKT SPÓŁKA AKCYJNA.cer,"C=PL, ST=mazowieckie, L=Warszawa, O=CD PROJEKT SPÓŁKA AKCYJNA, CN=CD PROJEKT SPÓŁKA AKCYJNA",CD PROJEKT SPÓŁKA AKCYJNA,"C=US, O=DigiCert, Inc., CN=DigiCert Global G3 Code Signing ECC SHA384 2021 CA1",071F3C2CDBF2480F6F2B7E16D9485B4E,Sep 27 00:00:00 2022 GMT,Sep 28 23:59:59 2023 GMT
Aegia Technologies (Physx).cer,"C=US, ST=Missouri, L=St. Louis, O=Ageia Technologies Inc., OU=Digital ID Class 3 - Microsoft Software Validation v2, OU=Engineering, CN=Ageia Technologies Inc.",Ageia Technologies Inc.,"C=US, O=VeriSign, Inc., OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)04, CN=VeriSign Class 3 Code Signing 2004 CA",18485CD991916C2E65DDCF1CC4DA150D,Apr 25 00:00:00 2006 GMT,May 28 23:59:59 2008 GMT
11 bit studios.cer,"businessCategory=Private Organization, serialNumber=0000350888, jurisdictionC=PL, C=PL, ST=Województwo mazowieckie, L=Warszawa, street=Ul. Brzeska 2, O=11 BIT STUDIOS S.A., OU=IT, CN=11 BIT STUDIOS S.A., emailAddress=software@11bits.com",11 BIT STUDIOS S.A.,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R45 EV CodeSigning CA 2020",30EA839CB105EBF307F23FF4,Jan 27 09:15:29 2023 GMT,Jan 28 09:15:29 2024 GMT
World Of Tanks.cer,"C=CY, L=Nicosia, O=Wargaming.net Limited, OU=Wargaming.net Limited, CN=Wargaming.net Limited, emailAddress=domain@wargaming.net",Wargaming.net Limited,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Assured ID Code Signing CA",0A5A12FEF0C9D14875D6968D3E3F673F,Feb  2 00:00:00 2021 GMT,Apr 25 23:59:59 2023 GMT
Sky Mavis Vietnam Company Limited.cer,"C=VN, L=Ho Chi Minh City, O=Sky Mavis Vietnam Company Limited, serialNumber=0316110827, CN=Sky Mavis Vietnam Company Limited, businessCategory=Private Organization, jurisdictionC=VN",Sky Mavis Vietnam Company Limited,"C=US, ST=Texas, L=Houston, O=SSL Corp, CN=SSL.com EV Code Signing Intermediate CA RSA R3",2F37DCBF7734997BC5DF5D3B7485DEBB,Feb 20 10:53:31 2023 GMT,Feb  8 11:48:11 2026 GMT
"Even Balance, Inc..cer","C=US, ST=Texas, O=Even Balance, Inc., OU=Digital ID Class 3 - Microsoft Software Validation v2, CN=Even Balance, Inc.",Even Balance,"C=US, O=VeriSign, Inc., OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Code Signing 2010 CA",779269AB55280C74DCE6B7C1A05F8DF1,Jan 19 00:00:00 2011 GMT,Jan 23 23:59:59 2012 GMT
